GCContent,CDR3Length,Hydrophobicity,AliphaticIndex,GRAVY,VGene3PDeletionLength,DGene3PDeletionLength,DGene5PDeletionLength,JGene5PDeletionLength,VDInsertionLength,DJInsertionLength
0.541899441340782,42,,,,6,11,1,2,1,0
0.526854219948849,75,,,,5,2,2,1,17,5
0.52972972972973,54,-0.111666666666667,37.7777777777778,-0.833333333333333,0,5,0,3,14,0
0.574175824175824,48,,,,3,11,1,4,5,0
0.545706371191136,45,-0.406666666666667,45.3333333333333,-3.70074341541719e-17,1,2,11,5,4,1
0.54016620498615,45,-0.604666666666667,71.3333333333334,0.553333333333333,1,2,11,5,4,1
0.515235457063712,45,,,,0,17,0,8,7,0
0.539893617021277,60,-0.5185,92.5,1.065,0,8,4,1,10,2
0.548476454293629,45,,,,1,2,11,5,4,1
0.56043956043956,48,-0.17,61.25,-0.125,1,11,1,0,2,0
0.557692307692308,48,-0.12875,85.625,-0.01875,1,11,1,0,2,0
0.545945945945946,54,,,,2,6,6,2,9,0
0.551351351351351,54,0.155,59.4444444444444,-0.65,2,6,6,2,9,0
0.551351351351351,54,,,,2,6,6,2,9,0
0.540540540540541,54,,,,2,6,6,2,9,0
0.52972972972973,54,,,,1,2,2,0,0,0
0.527027027027027,54,-0.189444444444444,65,0.0277777777777778,1,2,2,0,0,0
0.524324324324324,54,0.0483333333333333,21.6666666666667,-0.883333333333333,1,2,2,0,0,0
0.552112676056338,39,-0.150769230769231,90,0.738461538461538,0,0,11,11,2,0
0.546478873239437,39,0.2,45.3846153846154,-0.569230769230769,0,0,11,11,2,0
0.56056338028169,39,-0.000769230769230776,15.3846153846154,-0.869230769230769,0,0,11,11,2,0
0.558739255014327,33,0.122727272727273,44.5454545454546,-0.909090909090909,0,15,0,14,0,0
0.574344023323615,27,-0.687777777777778,11.1111111111111,0.655555555555555,1,15,1,14,7,0
0.52972972972973,51,,,,0,12,8,6,16,0
0.56786703601108,45,-0.193333333333333,142.666666666667,1.16666666666667,1,0,3,10,0,0
0.55774647887324,39,-0.174615384615385,30,-0.5,0,5,0,6,2,0
0.554054054054054,54,,,,0,2,0,6,3,0
0.568681318681319,51,-0.151176470588235,68.8235294117647,-0.352941176470588,0,0,9,5,0,0
0.584450402144772,51,-0.139411764705882,46.4705882352941,0.0294117647058824,1,2,0,2,7,0
0.574175824175824,48,-0.305625,66.875,0.2625,0,0,0,2,1,0
0.553072625698324,42,-0.204285714285714,110.714285714286,0.4,3,11,1,2,0,0
0.546703296703297,42,0.0864285714285714,35,-0.728571428571429,0,10,1,10,7,0
0.543956043956044,42,0.0864285714285714,35,-0.728571428571429,0,10,1,10,7,0
0.538461538461538,42,0.0864285714285714,35,-0.728571428571429,0,10,1,10,7,0
0.553133514986376,51,0.0641176470588235,51.7647058823529,-0.341176470588235,3,4,0,5,8,7
0.539267015706806,66,-0.0631818181818182,48.6363636363636,-0.377272727272727,0,3,4,5,19,0
0.523936170212766,60,-0.201,48.5,-0.305,1,5,1,7,9,0
0.554945054945055,48,-0.174375,30.625,-0.575,1,1,0,1,6,0
0.557692307692308,48,,,,1,1,0,1,6,0
0.53021978021978,48,-0.3025,30.625,-0.5875,1,1,0,1,6,0
0.558974358974359,75,-0.1188,15.6,-0.58,2,0,2,2,10,0
0.56056338028169,42,0.0542857142857143,7.14285714285714,-0.871428571428571,0,10,6,1,0,0
0.557746478873239,42,-0.0457142857142857,20.7142857142857,-0.621428571428571,0,10,6,1,0,0
0.583098591549296,42,,,,0,10,6,1,0,0
