GCContent,CDR3Length,Hydrophobicity,AliphaticIndex,GRAVY,VGene3PDeletionLength,DGene3PDeletionLength,DGene5PDeletionLength,JGene5PDeletionLength,VDInsertionLength,DJInsertionLength
0.571045576407507,57,-0.0247368421052632,92.6315789473684,0.142105263157895,0,0,1,4,10,0
0.544235924932976,57,-0.186842105263158,66.8421052631579,0.142105263157895,0,0,1,4,10,0
0.568306010928962,51,-0.0776470588235294,45.8823529411765,-0.382352941176471,0,19,0,16,6,0
0.568306010928962,51,-0.09,45.8823529411765,-0.388235294117647,0,19,0,16,6,0
0.569148936170213,60,,,,0,1,4,1,4,3
0.566489361702128,60,,,,0,1,4,1,4,3
0.550279329608939,42,0.01,14.2857142857143,-1.12142857142857,1,4,10,7,5,0
0.545212765957447,54,,,,1,5,1,3,5,0
0.529255319148936,54,-0.291111111111111,21.6666666666667,-0.638888888888889,1,5,1,3,5,0
0.53968253968254,63,,,,0,24,1,17,25,0
0.547619047619048,63,,,,0,24,1,17,25,0
0.553719008264463,48,,,,2,3,1,14,9,0
0.521164021164021,63,,,,0,31,1,10,25,0
0.557640750670241,57,,,,0,0,1,5,4,0
0.540404040404041,81,,,,0,2,2,0,5,6
0.535353535353535,81,,,,0,2,2,0,5,6
0.533333333333333,60,,,,2,0,1,2,2,0
0.58600583090379,24,,,,0,19,4,12,1,0
0.529085872576177,45,0.028,0,-0.78,0,0,13,5,2,0
0.568681318681319,48,-0.16375,73.125,0.1,0,10,1,13,13,0
0.540404040404041,84,,,,1,4,1,1,11,6
0.550505050505051,84,,,,1,4,1,1,11,6
0.540404040404041,84,,,,1,4,1,1,11,6
0.537878787878788,84,,,,1,4,1,1,11,6
0.565934065934066,48,-0.054375,6.25,-0.91875,1,1,3,1,9,0
0.571428571428571,48,0.06375,6.25,-1.0875,1,1,3,1,9,0
0.541208791208791,48,,,,1,1,3,1,9,0
0.546703296703297,48,-0.1975,24.375,-0.675,1,1,0,1,6,0
0.557692307692308,48,-0.1375,24.375,-0.84375,1,1,0,1,6,0
0.548969072164949,72,-0.390416666666667,52.9166666666667,-0.00833333333333334,2,0,1,0,3,4
0.559278350515464,72,-0.524166666666667,69.1666666666667,0.308333333333333,2,0,1,0,3,4
0.564432989690722,72,-0.41,52.9166666666667,-0.195833333333333,2,0,1,0,3,4
0.561855670103093,72,-0.41875,52.9166666666667,-0.2,2,0,1,0,3,4
0.551246537396122,45,-0.297333333333333,123.333333333333,1.03333333333333,1,9,3,6,5,0
0.547619047619048,63,0.119047619047619,32.8571428571429,-0.838095238095238,0,31,1,10,25,0
0.537037037037037,63,0.119047619047619,32.8571428571429,-0.838095238095238,0,31,1,10,25,0
0.544973544973545,63,0.119047619047619,32.8571428571429,-0.838095238095238,0,31,1,10,25,0
0.566416040100251,84,,,,4,0,0,2,10,0
0.568922305764411,84,,,,4,0,0,2,10,0
0.527472527472528,48,0.36875,12.5,-1.63125,1,19,1,1,11,0
0.541208791208791,48,0.00124999999999999,30.625,-1.1,1,19,1,1,11,0
0.543956043956044,48,-0.15375,12.5,-1.25625,1,19,1,1,11,0
0.584527220630372,33,-0.26,106.363636363636,0.836363636363636,4,3,3,10,5,0
0.541547277936963,33,-0.0954545454545455,44.5454545454546,-0.181818181818182,4,3,3,10,5,0
0.531746031746032,63,,,,0,31,1,10,25,0
0.531746031746032,63,,,,0,31,1,10,25,0
0.542328042328042,63,,,,0,31,1,10,25,0
0.551351351351351,54,-0.204444444444444,124.444444444444,0.522222222222222,0,0,14,16,24,0
0.564864864864865,54,,,,0,0,14,16,24,0
0.567567567567568,54,-0.372777777777778,86.6666666666667,0.622222222222222,0,0,14,16,24,0
0.564864864864865,54,,,,0,0,14,16,24,0
0.548648648648649,54,,,,0,0,14,16,24,0
0.562162162162162,54,-0.354444444444444,70.5555555555555,0.394444444444444,0,0,14,16,24,0
0.578378378378378,54,,,,0,1,4,2,1,1
0.591891891891892,54,,,,0,1,4,2,1,1
0.589189189189189,54,,,,0,1,4,2,1,1
0.591891891891892,54,,,,0,1,4,2,1,1
0.575675675675676,54,,,,0,1,4,2,1,1
0.578378378378378,54,,,,0,1,4,2,1,1
0.538461538461538,48,0.12875,18.125,-1.19375,1,22,5,12,27,0
0.541208791208791,48,0.064375,36.25,-0.8875,1,22,5,12,27,0
0.55026455026455,63,,,,0,12,0,3,19,0
0.532394366197183,39,,,,0,11,1,10,2,0
0.552112676056338,39,,,,0,11,1,10,2,0
0.535211267605634,39,,,,0,11,1,10,2,0
0.540845070422535,39,,,,0,11,1,10,2,0
0.526760563380282,39,,,,0,11,1,10,2,0
